,GradCAM,GradCAMPP,Saliency,DeconvNet,GradientInput,GuidedBackprop,IntegratedGradients,SmoothGrad,SquareGrad,VarGrad,KernelShap,Lime,Occlusion,Rise
Deletion,603.1411997477214,141.644074122111,105.45578638712566,115.48603375752768,109.39525922139485,102.07385698954263,98.17004203796387,100.55918057759604,99.73823865254721,100.47116597493489,97.52345403035483,98.14037640889487,100.36764144897461,97.80797004699707
Insertion,100.45069058736166,103.00485293070476,96.09651247660318,97.65575726826987,97.55934397379556,96.11013412475586,97.3688824971517,100.08979479471842,99.70350901285806,99.82630729675293,97.92524655659994,95.96426010131836,98.11355908711751,98.28627904256184
CosSim,0.42571067810058594,0.4286479949951172,0.45256614685058594,0.6301593780517578,0.6342951456705729,0.5736764272054037,0.6806310017903645,0.6499354044596355,0.7363732655843099,0.6779893239339192,0.3785578409830729,0.43433507283528644,0.42378107706705725,0.4992389678955078
_CosSim,0.4753621419270833,0.42621294657389325,0.5078856150309246,0.8284282684326172,0.7856655120849609,0.8527851104736328,0.8520189921061198,0.9593486785888672,0.8639272054036459,0.7241630554199219,0.4058297475179037,0.39945602416992193,0.4656378428141276,0.3601773579915365
SSIM,5.367622375488281,5.807590484619141,4.981966018676758,16.661965052286785,16.355746587117515,16.91580136617025,16.649971008300785,17.83462524414062,17.94208526611328,18.647645314534508,6.007636388142904,5.048046112060547,8.856455485026043,6.020927429199219
Conciseness,0.06670951843261719,0.06659825642903647,0.0,0.20133654276529947,0.21378517150878906,0.040111541748046875,0.21288235982259113,0.17334938049316406,0.2797985076904297,0.2125390370686849,0.0667730967203776,0.0,0.039997100830078125,0.0795745849609375
F1,14.159571329752604,14.277677536010742,14.146525065104168,43.847506841023765,41.995512644449875,42.46141115824382,43.03595542907715,43.821748097737625,42.888902028401695,42.543439865112305,13.91909917195638,14.57110087076823,16.3159974416097,14.571762084960938
MAE,0.6783835093180339,0.8530553181966146,0.7717291514078777,1.7843119303385415,2.037607828776042,1.903696060180664,2.371374766031901,2.289663950602214,2.423683802286784,1.970974604288737,0.8119583129882812,0.7854270935058594,0.6653372446695963,0.7188065846761068
IoU,14.172229766845703,14.930801391601562,14.332768122355143,42.29047775268555,41.836557388305664,42.03583399454753,42.43600845336914,43.15570831298828,44.64681307474772,43.048868179321296,14.105946222941082,14.41080093383789,15.651439030965168,14.851376215616861
PR,13.665075302124023,13.878946304321289,13.904673258463541,41.942898432413735,41.863040924072266,40.99726676940917,41.44936879475911,42.68990834554037,43.00869305928548,43.55626742045085,13.958816528320312,14.41141128540039,15.290981928507486,14.357932408650717
